,Country,Sex Ratio,ISO-code,Fertility,GDP Per Capita,Life Expectancy,Meat Consumption,Median Age,Population Growth,Suicide Rate,Urbanization Rate,Regional indicator,Ladder score
200,Togo,0.98,TGO,4.3,1913.0,60.8,8.5,19.8,2.6,16.6,42.8,Sub-Saharan Africa,4.187200069
201,Tonga,1.01,TON,3.6,6867.0,70.8,,23.0,0.37,4.0,23.1,,
202,Trinidad and Tobago,1.03,TTO,1.7,33713.0,73.4,57.8,36.0,0.33,12.9,53.2,Latin America and Caribbean,6.191899776
203,Tunisia,0.99,TUN,2.2,13093.0,76.5,25.5,31.6,0.97,3.2,69.6,Middle East and North Africa,4.392199993
204,Turkey,1.01,TUR,2.1,29327.0,78.3,19.3,30.9,1.28,7.2,76.1,Middle East and North Africa,5.131800175
205,Turkmenistan,0.98,TKM,2.8,21855.0,68.1,41.7,27.9,1.29,7.2,52.5,Commonwealth of Independent States,5.119100094
206,Turks and Caicos Islands,1.01,TCA,,,,,33.3,2.19,,93.6,,
207,Tuvalu,0.98,TUV,,4535.0,,,25.7,0.16,,64.0,,
208,Uganda,0.94,UGA,5.0,2753.0,63.0,11.7,15.8,3.35,20.0,25.0,Sub-Saharan Africa,4.43200016
209,Ukraine,0.86,UKR,1.3,10130.0,72.0,32.3,40.6,-0.25,18.5,69.6,Commonwealth of Independent States,4.56069994
210,United Arab Emirates,2.56,ARE,1.4,70441.0,77.8,74.4,30.3,3.1,2.7,87.0,Middle East and North Africa,6.790800095
211,United Kingdom,0.99,GBR,1.7,48169.0,81.2,79.6,40.5,0.75,7.6,83.9,Western Europe,7.164500237
212,United States,0.97,USA,1.7,67426.0,78.9,124.8,38.1,0.74,13.7,82.7,North America and ANZ,6.939599991
213,Uruguay,0.94,URY,2.0,24516.0,77.8,98.6,35.0,0.35,16.5,95.5,Latin America and Caribbean,6.440100193
214,Uzbekistan,0.99,UZB,2.4,9595.0,71.5,20.7,28.6,1.47,7.4,50.4,Commonwealth of Independent States,6.257599831
215,Vanuatu,0.99,VUT,3.8,3039.0,70.3,32.6,22.0,2.24,5.4,25.5,,
216,Venezuela,0.99,VEN,2.3,16055.0,72.1,56.6,28.3,1.53,3.8,88.3,Latin America and Caribbean,5.053199768
217,Vietnam,1.01,VNM,2.0,8677.0,75.3,28.6,30.5,1.06,7.0,37.3,Southeast Asia,5.353499889
218,Virgin Islands,0.91,VIR,2.1,,,6.6,41.0,,,,,
219,Wallis and Futuna,1.04,WLF,,,,,32.2,,,,,
220,Western Sahara,0.99,ESH,,,,,21.1,,,86.8,,
221,Yemen,1.02,YEM,3.8,2312.0,66.1,14.7,19.5,2.33,9.8,36.6,Middle East and North Africa,3.527400017
222,Zambia,1.0,ZMB,4.6,4174.0,63.5,11.9,16.8,3.19,11.3,44.6,Sub-Saharan Africa,3.759399891
223,Zimbabwe,0.96,ZWE,3.6,2778.0,61.2,15.2,20.0,2.7,19.1,32.2,Sub-Saharan Africa,3.299200058
