,Fertility,Meat consumption,Regional indicator
131,4.7,6.5,Sub-Saharan Africa
132,4.7,6.5,Sub-Saharan Africa
133,4.7,6.5,Sub-Saharan Africa
134,4.7,6.5,Sub-Saharan Africa
135,4.7,6.5,Sub-Saharan Africa
136,4.7,6.5,Sub-Saharan Africa
137,4.7,6.5,Sub-Saharan Africa
138,4.7,6.5,Sub-Saharan Africa
139,4.7,6.5,Sub-Saharan Africa
140,4.7,6.5,Sub-Saharan Africa
141,4.7,6.5,Sub-Saharan Africa
142,4.7,6.5,Sub-Saharan Africa
143,4.7,13.0,Sub-Saharan Africa
144,4.7,13.0,Sub-Saharan Africa
145,4.7,13.0,Sub-Saharan Africa
146,4.7,13.0,Sub-Saharan Africa
147,4.7,13.0,Sub-Saharan Africa
148,4.7,13.0,Sub-Saharan Africa
149,4.7,13.0,Sub-Saharan Africa
150,4.7,13.0,Sub-Saharan Africa
151,4.7,13.0,Sub-Saharan Africa
152,4.7,13.0,Sub-Saharan Africa
153,4.7,13.0,Sub-Saharan Africa
154,4.7,13.0,Sub-Saharan Africa
155,4.7,13.0,Sub-Saharan Africa
156,4.7,13.0,Sub-Saharan Africa
157,4.7,13.0,Sub-Saharan Africa
158,4.7,13.0,Sub-Saharan Africa
159,4.7,13.0,Sub-Saharan Africa
160,4.7,13.0,Sub-Saharan Africa
161,4.7,13.0,Sub-Saharan Africa
162,4.7,13.0,Sub-Saharan Africa
163,4.7,13.0,Sub-Saharan Africa
164,4.7,13.0,Sub-Saharan Africa
165,4.7,13.0,Sub-Saharan Africa
166,4.7,13.0,Sub-Saharan Africa
167,4.7,13.0,Sub-Saharan Africa
168,4.7,13.0,Sub-Saharan Africa
169,4.7,13.0,Sub-Saharan Africa
170,4.7,13.0,Sub-Saharan Africa
171,4.7,13.0,Sub-Saharan Africa
172,4.7,13.0,Sub-Saharan Africa
173,4.7,13.0,Sub-Saharan Africa
174,4.7,13.0,Sub-Saharan Africa
175,4.7,6.5,Sub-Saharan Africa
176,4.7,6.5,Sub-Saharan Africa
177,4.7,6.5,Sub-Saharan Africa
178,4.7,6.5,Sub-Saharan Africa
179,4.7,6.5,Sub-Saharan Africa
180,4.7,6.5,Sub-Saharan Africa
181,4.7,6.5,Sub-Saharan Africa
182,4.7,6.5,Sub-Saharan Africa
183,4.7,6.5,Sub-Saharan Africa
184,4.7,6.5,Sub-Saharan Africa
185,4.7,6.5,Sub-Saharan Africa
186,4.7,6.5,Sub-Saharan Africa
187,4.7,6.5,Sub-Saharan Africa
188,4.7,6.5,Sub-Saharan Africa
189,4.7,6.5,Sub-Saharan Africa
190,4.7,6.5,Sub-Saharan Africa
191,4.7,6.5,Sub-Saharan Africa
192,4.7,6.5,Sub-Saharan Africa
193,4.7,6.5,Sub-Saharan Africa
194,4.7,6.5,Sub-Saharan Africa
195,4.7,6.5,Sub-Saharan Africa
196,4.7,6.5,Sub-Saharan Africa
197,4.7,6.5,Sub-Saharan Africa
198,4.7,6.5,Sub-Saharan Africa
199,4.7,6.5,Sub-Saharan Africa
200,4.7,6.5,Sub-Saharan Africa
201,4.7,6.5,Sub-Saharan Africa
202,4.7,6.5,Sub-Saharan Africa
203,4.7,6.5,Sub-Saharan Africa
204,4.7,6.5,Sub-Saharan Africa
205,4.7,6.5,Sub-Saharan Africa
206,4.7,6.5,Sub-Saharan Africa
207,4.7,13.0,Sub-Saharan Africa
208,4.7,13.0,Sub-Saharan Africa
209,4.7,13.0,Sub-Saharan Africa
210,4.7,13.0,Sub-Saharan Africa
211,4.7,13.0,Sub-Saharan Africa
212,4.7,13.0,Sub-Saharan Africa
213,4.7,13.0,Sub-Saharan Africa
214,4.7,13.0,Sub-Saharan Africa
215,4.7,13.0,Sub-Saharan Africa
216,4.7,13.0,Sub-Saharan Africa
217,4.7,13.0,Sub-Saharan Africa
218,4.7,13.0,Sub-Saharan Africa
219,4.7,13.0,Sub-Saharan Africa
220,4.7,13.0,Sub-Saharan Africa
221,4.7,13.0,Sub-Saharan Africa
222,4.7,13.0,Sub-Saharan Africa
223,4.7,13.0,Sub-Saharan Africa
224,4.7,13.0,Sub-Saharan Africa
225,4.7,13.0,Sub-Saharan Africa
226,4.7,13.0,Sub-Saharan Africa
227,4.7,13.0,Sub-Saharan Africa
228,4.7,13.0,Sub-Saharan Africa
229,4.7,13.0,Sub-Saharan Africa
230,4.7,13.0,Sub-Saharan Africa
231,4.7,13.0,Sub-Saharan Africa
232,4.7,13.0,Sub-Saharan Africa
233,4.7,13.0,Sub-Saharan Africa
234,4.7,13.0,Sub-Saharan Africa
